Title,Price,Długość karty,Ilość pamięci RAM,Rodzaj chipsetu,Taktowanie rdzenia w trybie boost
Karta graficzna MSI GeForce GT 710 Low Profile 2GB DDR3,"182,29 zł",146 mm,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna Gigabyte GeForce RTX 4060 Ti Eagle OC 8GB GDDR6 (GV-N406TEAGLE OC-8GD),"2 453,99 zł",272 mm,8 GB,GeForce RTX 4060 Ti,2550 MHz
Karta graficzna Sapphire Pulse Radeon RX 7900 XT 20GB GDDR6 (11323-02-20G),"3 148,84 zł",313 mm,20 GB,Radeon RX 7900 XT,2450 MHz
Karta graficzna Gigabyte GeForce GT 710 2GB GDDR5 (GV-N710D5-2GL),225 zł,151 mm,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna Gigabyte Radeon RX 7600 XT Gaming OC 16GB GDDR6 (GV-R76XTGAMING OC-16GD),1 465 zł,281 mm,16 GB,Radeon RX 7600 XT,2810 MHz
Karta graficzna Asus GeForce GT 1030 Low Profile 2GB GDDR5 (GT1030-2G-BRK),519 zł,169 mm,2 GB,GeForce GT 1030,1506 MHz
Karta graficzna Sapphire Pure Radeon RX 7800 XT 16GB GDDR6 (11330-03-20G),"2 273,45 zł",320 mm,16 GB,Radeon RX 7800 XT,2475 MHz
Karta graficzna Sapphire Nitro+ Radeon RX 7900 XT Vapor-X 20GB GDDR6 (11323-01-40G),"3 355,43 zł",320 mm,20 GB,Radeon RX 7900 XT,2560 MHz
Karta graficzna Asus GeForce GT 1030 2GB GDDR5 (GT1030-SL-2G-BRK),409 zł,173 mm,2 GB,GeForce GT 1030,1506 MHz
Karta graficzna Gigabyte GeForce RTX 4060 Aero OC 8GB GDDR6 (GV-N4060AERO OC-8GD),1 575 zł,281 mm,8 GB,GeForce RTX 4060,2550 MHz
Karta graficzna XFX Speedster QICK 319 Radeon RX 7800 XT Core 16GB GDDR6 (RX-78TQICKF9),"2 198,99 zł",335 mm,16 GB,Radeon RX 7800 XT,2430 MHz
Karta graficzna Gigabyte GeForce RTX­­ 4060 Ti Gaming OC 8GB GDDR6 (GV-N406TGAMING OC-8GD),"2 550,11 zł",281 mm,8 GB,GeForce RTX 4060 Ti,2580 MHz
Karta graficzna MSI GeForce RTX 3050 Ventus 2X OC 6GB GDDR6,"814,56 zł",174 mm,6 GB,GeForce RTX 3050,1492 MHz
Karta graficzna ASRock Radeon RX 7700 XT Challenger OC 12GB GDDR6 (RX7700XT CL 12GO),"1 943,24 zł",266 mm,12 GB,Radeon RX 7700 XT,2584 MHz
Karta graficzna XFX Speedster QICK 319 Radeon RX 6750 XT 12GB GDDR6 (RX-675XYJFDP),"1 746,99 zł",323 mm,12 GB,Radeon RX 6750 XT,2600 MHz
Karta graficzna Palit GeForce RTX 4060 Ti Dual 8GB GDDR6 (NE6406T019P1-1060D),"2 017,43 zł",250 mm,8 GB,GeForce RTX 4060 Ti,2535 MHz
Karta graficzna ASRock Radeon RX 7600 Steel Legend 8GB OC (RX7600 SL 8GO),1 379 zł,303 mm,8 GB,Radeon RX 7600,2725 MHz
Karta graficzna XFX Radeon RX 7900 XT Speedster MERC 310 20GB GDDR6 (RX-79TMERCU9),"3 030,70 zł",344 mm,20 GB,Radeon RX 7900 XT,2535 MHz
Karta graficzna Asus Dual Radeon RX 7600 OC V2 8GB GDDR6 (DUAL-RX7600-O8G-V2),"1 654,99 zł",205 mm,8 GB,Radeon RX 7600,2715 MHz
Karta graficzna Asus Dual GeForce RTX 4060 Ti EVO OC 8GB GDDR6 (DUAL-RTX4060TI-O8G-EVO),"1 908,20 zł",227 mm,8 GB,GeForce RTX 4060 Ti,2595 MHz
Karta graficzna Asus Dual Radeon RX 7800 XT OC 16GB GDDR6 (DUAL-RX7800XT-O16G),"2 200,06 zł",280 mm,16 GB,Radeon RX 7800 XT,2520 MHz
Karta graficzna Inno3D GeForce RTX 4070 SUPER Twin X2 12GB GDDR6X (N407S2-126X-186162N),3 499 zł,250 mm,12 GB,GeForce RTX 4070 Super,2475 MHz
Karta graficzna Sapphire Pulse Radeon RX 6400 Gaming 4GB GDDR6 (11315-01-20G),554 zł,170 mm,4 GB,Radeon RX 6400,2321 MHz
Karta graficzna Asus GeForce GT 730 2GB GDDR5 (GT730-4H-SL-2GD5),"321,27 zł",148 mm,2 GB,GeForce GT 730,Nie dotyczy
Karta graficzna ASRock Radeon RX 6500 XT Phantom Gaming D OC 4GB GDDR6 (RX6500XT PGD 4GO),"703,73 zł",240 mm,4 GB,Radeon RX 6500 XT,Brak danych
Karta graficzna XFX Speedster QICK 319 Radeon RX 7700 XT Black Edition 12GB GDDR6 (RX-77TQICKB9),1 867 zł,335 mm,12 GB,Radeon RX 7700 XT,2599 MHz
Karta graficzna Palit GeForce RTX 4070 Ti SUPER GameRock OmniBlack 16GB GDDR6X (NED47TS019T2-1020Q),"5 046,99 zł",330 mm,16 GB,GeForce RTX 4070 Ti Super,2640 MHz
Karta graficzna ASRock Arc A770 Phantom Gaming OC 16GB GDDR6 (A770 PG 16GO),1 519 zł,305 mm,16 GB,Arc A770,2400 MHz
Karta graficzna ASRock Radeon RX 7600 Phantom Gaming OC 8GB GDDR6 (RX7600 PG 8GO),1 409 zł,305 mm,8 GB,Radeon RX 7600,2775 MHz
Karta graficzna Gigabyte GeForce RTX 4060 Eagle OC Ice 8GB GDDR6 (GV-N4060EAGLEOC ICE-8GD),"1 473,17 zł",272 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna ASRock Radeon RX 7700 XT Steel Legend 12GB GDDR6 (RX7700XT SL 12GO),2 019 zł,304 mm,12 GB,Radeon RX 7700 XT,2599 MHz
Karta graficzna ASRock Radeon RX 6600 Challenger White 8GB GDDR6 (RX6600 CLW 8G),"960,99 zł",269 mm,8 GB,Radeon RX 6600,2491 MHz
Karta graficzna Biostar GeForce GT 730 4GB DDR3 (VN7313TH41-TBBRL-BS2),"318,83 zł",Brak danych,4 GB,GeForce GT 730,Nie dotyczy
Karta graficzna ASRock Intel Arc A380 Challenger ITX OC 6GB GDDR6 (90-GA3KZZ-00UANF),559 zł,190 mm,6 GB,Arc A380,2250 MHz
Karta graficzna Gigabyte GeForce RTX 3060 Gaming OC 8GB GDDR6 (GV-N3060GAMING OC-8GD 2.0),"1 350,91 zł",198 mm,8 GB,GeForce RTX 3060,1807 MHz
Karta graficzna Palit GeForce RTX 3050 StormX 6GB GDDR6 (NE63050018JE-1070F),775 zł,162 mm,6 GB,GeForce RTX 3050,1470 MHz
Karta graficzna PNY Quadro T1000 8GB GDDR6 (VCNT1000-8GB-PB),"1 908,98 zł",156 mm,8 GB,Quadro T1000,1395 MHz
Karta graficzna Gigabyte GeForce RTX 4060 Ti Eagle OC Ice 8GB GDDR6 (GV-N406TEAGLEOC ICE-8GD),"2 185,58 zł",272 mm,8 GB,GeForce RTX 4060 Ti,2550 MHz
Karta graficzna MSI GeForce GT 1030 4GHD4 LP OC 4GB DDR4,349 zł,150 mm,4 GB,GeForce GT 1030,1430 MHz
Karta graficzna AFOX Radeon RX 5500 XT 8GB GDDR6 (AFRX5500XT-8GD6H7),"788,92 zł",Brak danych,8 GB,Radeon RX 5500 XT,1845 MHz
Karta graficzna Palit GeForce RTX 3050 KalmX 6GB GDDR6 (NE63050018JE-1070H),889 zł,166 mm,6 GB,GeForce RTX 3050,1492 MHz
Karta graficzna PNY Quadro T400 4GB GDDR6 (VCNT400-4GB-PB),"968,99 zł",156 mm,4 GB,Quadro T400,1425 MHz
Karta graficzna Palit GeForce RTX 4060 Infinity 2 8GB GDDR6 (NE64060019P1-1070L),"1 356,99 zł",250 mm,8 GB,GeForce RTX 4060,2460 MHz
Karta graficzna Zotac Gaming GeForce RTX 4060 Twin Edge OC 8GB GDDR6 (ZT-D40600H-10M),"1 626,39 zł",222 mm,8 GB,GeForce RTX 4060,2475 MHz
Karta graficzna Gigabyte GeForce RTX 4060 Ti Windforce OC 8GB GDDR6 (GV-N406TWF2OC-8GD),"1 829,32 zł",201 mm,8 GB,GeForce RTX 4060 Ti,2550 MHz
Karta graficzna AFOX GeForce GT 210 1GB DDR3 (AF210-1024D3L5),"153,22 zł",197 mm,1 GB,GeForce GT 210,Nie dotyczy
Karta graficzna Asus Dual GeForce RTX 3050 OC V2 8GB GDDR6 (DUAL-RTX3050-O8G-V2),1 019 zł,200 mm,8 GB,GeForce RTX 3050,1852 MHz
Karta graficzna Asus Dual Radeon RX 7600 XT OC 16GB GDDR6 (DUAL-RX7600XT-O16G),"1 517,43 zł",227 mm,16 GB,Radeon RX 7600 XT,2801 MHz
Karta graficzna PNY GeForce RTX 4060 XLR8 Gaming Verto OC 8GB GDDR6 (VCG40608DFXPB1-O),"1 618,99 zł",210 mm,8 GB,GeForce RTX 4060,2475 MHz
Karta graficzna Gainward GeForce RTX 4070 Ghost 12GB GDDR6 (471056224-4724),"2 894,99 zł",269 mm,12 GB,GeForce RTX 4070,2475 MHz
Karta graficzna Asus GeForce GT 710 2GB GDDR5 EVO (GT710-SL-2GD5-BRK-EVO),209 zł,170 mm,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna ASRock Radeon RX 550 Phantom Gaming 4GB GDDR5 (PHANTOM G R RX550 4G),369 zł,170 mm,4 GB,Radeon RX 550,1230 MHz
Karta graficzna AFOX GeForce GTX 750 Ti 2GB GDDR5 (AF750TI-2048D5H5-V8),"415,99 zł",Brak danych,2 GB,GeForce GTX 750 Ti,1085 MHz
Karta graficzna Sparkle Arc A380 Elf 6GB GDDR6 (SA380E-6G),"546,76 zł",153 mm,6 GB,Arc A380,Nie dotyczy
Karta graficzna Gigabyte GeForce RTX 4060 OC Low Profile 8GB GDDR6 (GV-N4060OC-8GL),1 464 zł,182 mm,8 GB,GeForce RTX 4060,2475 MHz
Karta graficzna Zotac Gaming GeForce RTX 4060 Solo 8GB GDDR6 (ZT-D40600G-10L),"1 497,57 zł",163 mm,8 GB,GeForce RTX 4060,2460 MHz
Karta graficzna Palit GeForce RTX 4060 Ti StormX 8GB GDDR6 (NE6406T019P1-1060F),"2 409,69 zł",170 mm,8 GB,GeForce RTX 4060 Ti,2535 MHz
Karta graficzna Asus Dual Radeon RX 7900 XT OC 20GB GDDR6 (DUAL-RX7900XT-O20G),"3 117,24 zł",323 mm,20 GB,Radeon RX 7900 XT,2535 MHz
Karta graficzna PNY Quadro RTX A2000 12GB GDDR6 (VCNRTXA2000-12GB-PB),"3 220,99 zł",168 mm,12 GB,Quadro RTX A2000,1200 MHz
Karta graficzna ASRock Radeon RX 7900 XTX Creator 24GB GDDR6 (RX7900XTX CT 24G),5 699 zł,312 mm,24 GB,Radeon RX 7900 XTX,2500 MHz
Karta graficzna Sapphire Nitro+ Radeon RX 7800 XT 16GB GDDR6 (11330-01-20G),"2 377,58 zł",320 mm,16 GB,Radeon RX 7800 XT,2565 MHz
Karta graficzna Asus Dual GeForce RTX 4060 EVO OC 8GB GDDR6 (DUAL-RTX4060-O8G-EVO),1 414 zł,227 mm,8 GB,GeForce RTX 4060,2535 MHz
Karta graficzna Power Color Radeon RX 6600 Fighter 8GB GDDR6 (AXRX 6600 8GBD6-3DH),"948,45 zł",200 mm,8 GB,Radeon RX 6600,2491 MHz
Karta graficzna Asus TUF Gaming GeForce RTX 3060 Ti Gaming OC V2 8GB GDDR6 (TUF-RTX3060TI-O8G-V2-GAMING),2 999 zł,301 mm,8 GB,GeForce RTX 3060 Ti,1785 MHz
Karta graficzna Sapphire Pulse Radeon RX 6800 Gaming OC 16GB GDDR6 (11305-02-20G),,303 mm,16 GB,Radeon RX 6800,2170 MHz
Karta graficzna Asus Dual GeForce RTX 2060 OC Evo 6GB GDDR6 (DUAL-RTX2060-O6G-EVO),2 019 zł,242 mm,6 GB,GeForce RTX 2060,1785 MHz
Karta graficzna Inno3D GeForce RTX 3060 Twin X2 OC 12GB GDDR6 LHR (N30602-12D6X-11902120H),"1 346,05 zł",240 mm,12 GB,GeForce RTX 3060,1792 MHz
Karta graficzna XFX Radeon RX 6600 Speedster SWFT 210 Core Gaming 8GB GDDR6 (RX-66XL8LFDQ),"1 004,39 zł",241 mm,8 GB,Radeon RX 6600,2491 MHz
Karta graficzna Sapphire Nitro+ Radeon RX 7900 XTX Vapor-X 24GB GDDR6 (11322-01-40G),"4 395,93 zł",320 mm,24 GB,Radeon RX 7900 XTX,2680 MHz
Karta graficzna Gigabyte GeForce RTX 3050 Eagle OC 8GB GDDR6 (GV-N3050EAGLE OC-8GD),2 097 zł,214 mm,8 GB,GeForce RTX 3050,1792 MHz
Karta graficzna Sapphire Pulse Radeon RX 7800 XT 16GB GDDR6 (11330-02-20G),2 249 zł,280 mm,16 GB,Radeon RX 7800 XT,2430 MHz
Karta graficzna Asus TUF Gaming GeForce RTX 3070 Ti Gaming OC 8GB GDDR6X (TUF-RTX3070TI-O8G-GAMING),3 499 zł,299 mm,8 GB,GeForce RTX 3070 Ti,1815 MHz
Karta graficzna Palit GeForce GT 710 2GB DDR3 (NEAT7100HD46H),219 zł,115 mm,2 GB,GeForce GT 710,Nie dotyczy
Karta graficzna Asus TUF Gaming Radeon RX 7800 XT OC 16GB GDDR6 (TUF-RX7800XT-O16G-GAMING),2 599 zł,320 mm,16 GB,Radeon RX 7800 XT,2565 MHz
Karta graficzna Gainward GeForce RTX 2060 SUPER Ghost 8GB GDDR6 (471056224-2577),,235 mm,8 GB,GeForce RTX 2060 Super,1650 MHz
Karta graficzna Inno3D GeForce RTX 3060 Twin X2 12GB GDDR6 (N30602-12D6-119032AH),"1 421,19 zł",240 mm,12 GB,GeForce RTX 3060,1777 MHz
Karta graficzna Biostar GeForce GT 1030 4GB DDR4 (VN1034TB46-TB1RA-BS2),"410,07 zł",160 mm,4 GB,GeForce GT 1030,Brak danych
Karta graficzna XFX Speedster MERC 319 Radeon RX 7800 XT Black 16GB GDDR6 (RX-78TMERCB9),"2 992,30 zł",326 mm,16 GB,Radeon RX 7800 XT,2565 MHz
Karta graficzna XFX Radeon RX 7900 XTX Speedster MERC 310 Black Edition 24GB GDDR6 (RX-79XMERCB9),"4 058,77 zł",344 mm,24 GB,Radeon RX 7900 XTX,2615 MHz
Karta graficzna Zotac GeForce GT 730 Zone 4GB DDR3 (ZT-71115-20L),"465,28 zł",146 mm,4 GB,GeForce GT 730,Nie dotyczy
Karta graficzna Biostar Radeon RX 560 Gaming OC 4GB GDDR5 (VA5615RF41-TBE1A-BS2),"494,29 zł",Brak danych,4 GB,Radeon RX 560,Brak danych
Karta graficzna ASRock Radeon RX 7800 XT Steel Legend OC 16GB GDDR6 (RX7800XT SL 16GO),"2 411,76 zł",304 mm,16 GB,Radeon RX 7800 XT,2520 MHz
Karta graficzna Zotac GeForce GT 1030 LP 2GB GDDR5 (ZT-P10300A-10L),"406,99 zł",172 mm,2 GB,GeForce GT 1030,1468 MHz
Karta graficzna Asus TUF GeForce GTX 1660 Ti Gaming Evo OC 6GB GDDR6 (TUF-GTX1660TI-O6G-EVO-GAMING),1 500 zł,215 mm,6 GB,GeForce GTX 1660 Ti,1830 MHz
Karta graficzna PNY GeForce RTX 4060 XLR8 Gaming Verto Epic-X RGB OC 8GB GDDR6 (VCG40608TFXXPB1-O),"1 779,88 zł",260 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna Sapphire Nitro+ Radeon RX 7700 XT 12GB GDDR6 (11335-02-20G),2 099 zł,320 mm,12 GB,Radeon RX 7700 XT,2599 MHz
Karta graficzna AFOX Geforce GT 210 1GB DDR2 (AF210-1024D2LG2),"184,99 zł",Brak danych,1 GB,GeForce GT 210,Brak danych
Karta graficzna MSI Radeon RX 6500 XT Mech X2 OC 4GB GDDR6 (RX 6500 XT MECH 2X 4G OC),"1 257,27 zł",201 mm,4 GB,Radeon RX 6500 XT,Brak danych
Karta graficzna Gigabyte GeForce GT 1030 Low Profile D4 2GB DDR4 (GV-N1030D4-2GL),"363,99 zł",150 mm,2 GB,GeForce GT 1030,1417 MHz
Karta graficzna Sapphire Pure Radeon RX 7700 XT 12GB GDDR6 (11335-03-20G),"1 982,52 zł",320 mm,12 GB,Radeon RX 7700 XT,2584 MHz
Karta graficzna ASRock Radeon RX 6750 XT Phantom Gaming D 12GB GDDR6 (RX6750XT PGD 12GO),,305 mm,12 GB,Radeon RX 6750 XT,2622 MHz
Karta graficzna Palit GeForce RTX 3050 Dual 8GB GDDR6 (NE63050019P1-190AD),"2 002,19 zł",245 mm,8 GB,GeForce RTX 3050,Brak danych
Karta graficzna XFX Speedster SWFT 210 Radeon RX 7600 8GB GDDR6 (RX-76PSWFTFY),1 179 zł,241 mm,8 GB,Radeon RX 7600,2655 MHz
Karta graficzna Asus TUF GeForce GTX 1660 Ti Evo Top Gaming 6GB GDDR6 (TUF-GTX1660TI-T6G-EVO-GAMING),1 400 zł,205 mm,6 GB,GeForce GTX 1660 Ti,1845 MHz
Karta graficzna ASRock Radeon RX 7900 XTX Taichi OC 24GB GDDR6 (RX7900XTX TC 24GO),"4 433,39 zł",345 mm,24 GB,Radeon RX 7900 XTX,2680 MHz
Karta graficzna ASRock Radeon RX 7900 XTX Taichi White OC 24GB GDDR6 (RX7900XTX TCW 24GO),"4 649,99 zł",345 mm,24 GB,Radeon RX 7900 XTX,2680 MHz
Karta graficzna Asus Dual GeForce GTX 1660 SUPER Evo OC 6GB GDDR6 (DUAL-GTX1660S-O6G-EVO),1 499 zł,242 mm,6 GB,GeForce GTX 1660 Super,1860 MHz
Karta graficzna XFX Speedster MERC 310 Radeon RX 7900 GRE 16GB GDDR6 (RX-79GMERCB9),2 999 zł,335 mm,16 GB,Radeon RX 7900 GRE,2395 MHz
Karta graficzna Gigabyte GeForce RTX 3070 Ti EAGLE OC 8GB GDDR6X (GV-N307TEAGLE OC-8GD),"3 688,92 zł",283 mm,8 GB,GeForce RTX 3070 Ti,1800 MHz
Karta graficzna Power Color Radeon RX 7900 XTX Hellhound 24GB GDDR6 (RX 7900 XTX 24G-L/OC),"4 705,77 zł",320 mm,24 GB,Radeon RX 7900 XTX,2525 MHz
Karta graficzna Asus Dual GeForce GTX 1650 OC 4GB GDDR5 (DUAL-GTX1650-O4G),1 399 zł,190 mm,4 GB,GeForce GTX 1650,1755 MHz
Karta graficzna Power Color Red Devil Radeon RX 7800 XT 16GB GDDR6 (RX 7800 XT 16G-E/OC),2 800 zł,345 mm,16 GB,Radeon RX 7800 XT,2425 MHz
Karta graficzna Asus TUF Gaming Radeon RX 7900 XT OC 20GB GDDR6 (TUF-RX7900XT-O20G-GAMING),"3 799,37 zł",353 mm,20 GB,Radeon RX 7900 XT,2535 MHz
Karta graficzna Sapphire Pulse Radeon RX 7900 XTX 24GB GDDR6 (11322-02-20G),"4 645,32 zł",313 mm,24 GB,Radeon RX 7900 XTX,2525 MHz
Karta graficzna PNY GeForce RTX 4060 Ti Verto Dual Fan 8GB GDDR6 (VCG4060T8DFXPB1),"1 968,09 zł",245 mm,8 GB,GeForce RTX 4060 Ti,2535 MHz
Karta graficzna Asus Dual Radeon RX 6600 XT OC 8GB GDDR6 (DUAL-RX6600XT-O8G),2 439 zł,243 mm,8 GB,Radeon RX 6600 XT,2607 MHz
Karta graficzna Gigabyte GeForce RTX 4070 Windforce 2X OC V2 12GB GDDR6 (GV-N4070WF2OCV2-12GD),"2 995,82 zł",201 mm,12 GB,GeForce RTX 4070,2490 MHz
Karta graficzna ASRock Radeon RX 7900 XT Phantom Gaming White OC 20GB GDDR6 (RX7900XT PGW 20GO),"3 322,55 zł",330 mm,20 GB,Radeon RX 7900 XT,2450 MHz
Karta graficzna Biostar GeForce GT 210 1GB DDR3 (VN2103NHG6-TBARL-BS2),"169,94 zł",Brak danych,1 GB,GeForce GT 210,Brak danych
Karta graficzna Biostar Radeon RX 550 4GB GDDR5 (VA5505RF41-SBHRA-BS2),"375,80 zł",Brak danych,4 GB,Radeon RX 550,1183 MHz
Karta graficzna Palit GeForce RTX 3050 StormX 8GB GDDR6 (NE63050018P1-1070F),829 zł,162 mm,8 GB,GeForce RTX 3050,1777 MHz
Karta graficzna Intel Arc A750 Limited Edition 8GB GDDR6 (21P02J00BA),"1 146,50 zł",Brak danych,8 GB,Arc A750,Brak danych
Karta graficzna ASRock Radeon RX 7600 Challenger OC 8GB GDDR6 (RX 7600 CL 8GO),"1 167,74 zł",270 mm,8 GB,Radeon RX 7600,2695 MHz
Karta graficzna PNY GeForce RTX 3050 XLR8 Gaming Revel Epic-X 8GB GDDR6 (VCG30508DFXPPB),1 559 zł,247 mm,8 GB,GeForce RTX 3050,1777 MHz
Karta graficzna Gigabyte Radeon RX 6500 XT Eagle 4GB GDDR6 (GV-R65XTEAGLE-4GD),779 zł,192 mm,4 GB,Radeon RX 6500 XT,Brak danych
Karta graficzna Fujitsu Quadro P400 2GB GDDR5 (S26361-F2222-L44),"431,42 zł",145 mm,2 GB,Quadro P400,1252 MHz
Karta graficzna AMD Radeon Pro WX 3200 4GB GDDR5 (100-506115),"617,30 zł",168 mm,4 GB,Radeon Pro WX 3200,Nie dotyczy
Karta graficzna Asus TUF GeForce GTX 1660 SUPER Gaming OC 6GB GDDR6 (90YV0DT2-M0NA00),1 500 zł,206 mm,6 GB,GeForce GTX 1660 Super,1845 MHz
Karta graficzna Sapphire Pulse Radeon RX 7600 XT OC 16GB GDDR6 (11339-04-20G),1 609 zł,250 mm,16 GB,Radeon RX 7600 XT,2755 MHz
Karta graficzna PNY GeForce RTX 4060 Ti XLR8 Gaming Verto OC Dual Fan 8GB GDDR6 (VCG4060T8DFXPB1-O),"1 917,38 zł",245 mm,8 GB,GeForce RTX 4060 Ti,2550 MHz
Karta graficzna Zotac Gaming GeForce RTX 4070 SUPER Twin Edge 12GB GDDR6X (ZT-D40720E-10M),"3 430,88 zł",234 mm,12 GB,GeForce RTX 4070 Super,2475 MHz
Karta graficzna Gigabyte Radeon RX 9070 XT Gaming OC 16GB GDDR6 (GV-R9070XTGAMING OC-16GD),3 699 zł,288 mm,16 GB,Radeon RX 9070 XT,Brak danych
